Strategie,Netzwerkeffekte_mean,Netzwerkeffekte_std,Netzwerkeffekte_min,Netzwerkeffekte_max,Kategorie_first
Nachhaltigkeit & Lokalität,9351.109722222222,99.89560521801123,9222.37111111111,9436.27,Cluster
Monetarisierung,9350.779722222222,99.89560521801026,9222.04111111111,9435.94,Cluster
Sichtbarkeit & Nutzergewinnung,9348.852522222222,99.89560521801018,9220.11391111111,9434.0128,Cluster
Community & Nutzerbindung,9348.469722222222,99.89560521800944,9219.731111111112,9433.63,Cluster
"Sichtbarkeit & Nutzergewinnung, Nachhaltigkeit & Lokalität",9283.057799999999,143.9131583865425,9187.791688888889,9493.371688888888,Kombination
Alle Cluster,9267.77502222222,136.27132077227682,9067.18502222222,9369.001688888888,Kombination
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Community & Nutzerbindung",9231.774466666666,147.68528756016246,9029.475022222225,9369.061688888887,Kombination
"Sichtbarkeit & Nutzergewinnung, Monetarisierung",9221.947244444444,29.11136663727242,9187.896133333334,9254.858355555554,Kombination
Freemium Modell,9213.276666666667,136.23778950080677,9016.505555555554,9310.602222222222,Einzelmaßnahme
Treuepunkte,9211.776666666667,136.23778950080677,9015.005555555554,9309.102222222222,Einzelmaßnahme
Personalisierte Empfehlungen,9211.026666666667,136.23778950080677,9014.255555555554,9308.352222222222,Einzelmaßnahme
Affiliate-Marketing,9210.576666666666,136.23778950080467,9013.805555555557,9307.90222222222,Einzelmaßnahme
"Monetarisierung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9210.558888888889,123.8968522768656,9064.833333333332,9367.574444444444,Kombination
Regionale Kooperationen,9208.776666666667,136.23778950080677,9012.005555555554,9306.102222222222,Einzelmaßnahme
Nachhaltige Werte,9208.776666666667,136.23778950080677,9012.005555555554,9306.102222222222,Einzelmaßnahme
SEM,9207.324666666667,136.2377895008061,9010.553555555556,9304.650222222224,Einzelmaßnahme
CO2-Transparenz,9207.276666666667,136.23778950080677,9010.505555555554,9304.602222222222,Einzelmaßnahme
Nachhaltige Produktfilter,9207.276666666667,136.23778950080677,9010.505555555554,9304.602222222222,Einzelmaßnahme
Reduzierte Gebühren,9206.976666666667,136.23778950080634,9010.205555555556,9304.302222222224,Einzelmaßnahme
Social-Media-Marketing,9206.376666666667,136.2377895008054,9009.605555555556,9303.702222222222,Einzelmaßnahme
Eigenes Forum,9206.376666666667,136.2377895008054,9009.605555555556,9303.702222222222,Einzelmaßnahme
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung",9198.5978,207.19925817252093,8912.299466666665,9402.168355555556,Kombination
"Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9197.869444444443,89.86916312199045,9129.024444444443,9320.839999999998,Kombination
"Monetarisierung, Community & Nutzerbindung",9183.82138888889,183.07751305925768,8945.996666666668,9390.592222222222,Kombination
"Sichtbarkeit & Nutzergewinnung, Monetarisierung, Nachhaltigkeit & Lokalität",9141.686966666668,139.18433220731333,9054.562800000002,9349.0528,Kombination
"Monetarisierung, Nachhaltigkeit & Lokalität",9136.166388888887,130.1100172531271,8999.133333333331,9264.12111111111,Kombination
"Sichtbarkeit & Nutzergewinnung, Community & Nutzerbindung, Nachhaltigkeit & Lokalität",9124.225577777777,49.95095044758727,9070.660577777777,9172.919466666666,Kombination
