Strategie,Kategorie,Anbieter_mean,Nachfrager_mean,Netzwerkeffekte_mean
nachhaltigkeit lokalität,Kombination,412.64285714285717,16738.285714285714,9360.205238095235
monetarisierung,Kombination,412.64285714285717,16738.285714285714,9359.87523809524
sichtbarkeit nutzergewinnung,Kombination,412.64285714285717,16738.285714285714,9357.948038095235
community nutzerbindung,Kombination,412.64285714285717,16738.285714285714,9357.565238095238
sichtbarkeit nutzergewinnung nachhaltigkeit lokalität,Kombination,411.35714285714283,16532.071428571428,9251.299942857142
monetarisierung community nutzerbindung,Kombination,416.2857142857143,16518.571428571428,9242.940238095236
sichtbarkeit nutzergewinnung monetarisierung community nutzerbindung nachhaltigkeit lokalität,Kombination,403.22222222222223,16462.555555555555,9234.032799999999
community nutzerbindung nachhaltigkeit lokalität,Kombination,402.55555555555554,16478.88888888889,9220.817777777778
freemium modell,Kombination,410.42857142857144,16476.714285714286,9214.489047619049
treuepunkte,Kombination,410.42857142857144,16476.714285714286,9212.989047619049
personalisierte empfehlungen,Kombination,410.42857142857144,16476.714285714286,9212.239047619049
affiliate-marketing,Kombination,410.42857142857144,16476.714285714286,9211.789047619046
nachhaltige werte,Kombination,410.42857142857144,16476.714285714286,9209.989047619049
regionale kooperationen,Kombination,410.42857142857144,16476.714285714286,9209.989047619049
sem,Kombination,410.42857142857144,16476.714285714286,9208.53704761905
nachhaltige produktfilter,Kombination,410.42857142857144,16476.714285714286,9208.489047619049
co2-transparenz,Kombination,410.42857142857144,16476.714285714286,9208.489047619049
reduzierte gebühren,Kombination,410.42857142857144,16476.714285714286,9208.189047619047
eigenes forum,Kombination,410.42857142857144,16476.714285714286,9207.589047619049
social-media-marketing,Kombination,410.42857142857144,16476.714285714286,9207.589047619049
sichtbarkeit nutzergewinnung monetarisierung community nutzerbindung,Kombination,418.3333333333333,16428.666666666668,9206.902059259259
sichtbarkeit nutzergewinnung monetarisierung,Kombination,397.7857142857143,16451.785714285714,9202.738276190476
sichtbarkeit nutzergewinnung community nutzerbindung,Kombination,412.7142857142857,16421.85714285714,9193.390657142856
monetarisierung community nutzerbindung nachhaltigkeit lokalität,Kombination,401.3333333333333,16345.0,9158.220370370369
sichtbarkeit nutzergewinnung monetarisierung nachhaltigkeit lokalität,Kombination,413.1111111111111,16341.333333333334,9157.667985185186
monetarisierung nachhaltigkeit lokalität,Kombination,401.5,16277.07142857143,9113.704047619045
sichtbarkeit nutzergewinnung community nutzerbindung nachhaltigkeit lokalität,Kombination,400.3333333333333,16266.444444444445,9112.275392592592
