Strategie,Kategorie,Anbieter_mean,Anbieter_std,Anbieter_min,Anbieter_max,Nachfrager_mean,Nachfrager_std,Nachfrager_min,Nachfrager_max,Netzwerkeffekte_mean,Netzwerkeffekte_std,Netzwerkeffekte_min,Netzwerkeffekte_max
nachhaltigkeit lokalität,Kombination,412.64285714285717,19.725281612536676,379.0,447.0,16738.285714285714,292.64396422259995,16219.0,17233.0,9360.205238095235,167.1222837046501,9076.96,9618.186666666666
monetarisierung,Kombination,412.64285714285717,19.725281612536676,379.0,447.0,16738.285714285714,292.64396422259995,16219.0,17233.0,9359.87523809524,167.1222837046498,9076.63,9617.856666666665
sichtbarkeit nutzergewinnung,Kombination,412.64285714285717,19.725281612536676,379.0,447.0,16738.285714285714,292.64396422259995,16219.0,17233.0,9357.948038095235,167.1222837046501,9074.7028,9615.929466666665
community nutzerbindung,Kombination,412.64285714285717,19.725281612536676,379.0,447.0,16738.285714285714,292.64396422259995,16219.0,17233.0,9357.565238095238,167.12228370465058,9074.32,9615.546666666669
sichtbarkeit nutzergewinnung nachhaltigkeit lokalität,Kombination,411.35714285714283,29.28336227488997,361.0,458.0,16532.071428571428,503.0047520771995,15652.0,17327.0,9251.299942857142,274.4407483652263,8785.236133333332,9683.6528
monetarisierung community nutzerbindung,Kombination,416.2857142857143,27.819388335240923,383.0,488.0,16518.571428571428,423.0301769522417,15785.0,17243.0,9242.940238095236,233.80496425495502,8829.216666666667,9648.646666666666
sichtbarkeit nutzergewinnung monetarisierung community nutzerbindung nachhaltigkeit lokalität,Kombination,403.22222222222223,24.39844156124083,358.0,448.0,16462.555555555555,453.20196898442316,16004.0,17416.0,9234.032799999999,253.04582948012393,8994.942799999999,9764.722799999998
community nutzerbindung nachhaltigkeit lokalität,Kombination,402.55555555555554,14.213539015953227,381.0,437.0,16478.88888888889,398.88077986186534,15758.0,17115.0,9220.817777777778,213.62318202565297,8828.6,9570.123333333331
freemium modell,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9214.489047619049,165.53507280230534,8941.936666666666,9436.216666666667
treuepunkte,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9212.989047619049,165.53507280230534,8940.436666666666,9434.716666666667
personalisierte empfehlungen,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9212.239047619049,165.53507280230534,8939.686666666666,9433.966666666667
affiliate-marketing,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9211.789047619046,165.53507280230428,8939.236666666666,9433.516666666665
nachhaltige werte,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9209.989047619049,165.53507280230534,8937.436666666666,9431.716666666667
regionale kooperationen,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9209.989047619049,165.53507280230534,8937.436666666666,9431.716666666667
sem,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9208.53704761905,165.5350728023053,8935.984666666665,9430.264666666666
nachhaltige produktfilter,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9208.489047619049,165.53507280230534,8935.936666666666,9430.216666666667
co2-transparenz,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9208.489047619049,165.53507280230534,8935.936666666666,9430.216666666667
reduzierte gebühren,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9208.189047619047,165.5350728023051,8935.636666666667,9429.916666666666
eigenes forum,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9207.589047619049,165.5350728023053,8935.036666666665,9429.316666666668
social-media-marketing,Kombination,410.42857142857144,29.095199127087927,358.0,457.0,16476.714285714286,299.4028410427827,15964.0,16913.0,9207.589047619049,165.5350728023053,8935.036666666665,9429.316666666668
sichtbarkeit nutzergewinnung monetarisierung community nutzerbindung,Kombination,418.3333333333333,26.08107018935807,387.0,475.0,16428.666666666668,301.0053524810186,16054.0,16897.0,9206.902059259259,174.89735878669606,9001.409466666666,9464.729466666666
sichtbarkeit nutzergewinnung monetarisierung,Kombination,397.7857142857143,42.7286765055784,323.0,468.0,16451.785714285714,385.2010937848713,15879.0,17226.0,9202.738276190476,211.71419391652879,8877.389466666666,9592.179466666665
sichtbarkeit nutzergewinnung community nutzerbindung,Kombination,412.7142857142857,31.675652144439113,340.0,476.0,16421.85714285714,534.9029093667183,15490.0,17683.0,9193.390657142856,308.499653028045,8640.336133333332,9921.1728
monetarisierung community nutzerbindung nachhaltigkeit lokalität,Kombination,401.3333333333333,21.939310229205777,371.0,442.0,16345.0,477.0879257420888,15632.0,16896.0,9158.220370370369,262.3215524600446,8774.726666666666,9467.856666666665
sichtbarkeit nutzergewinnung monetarisierung nachhaltigkeit lokalität,Kombination,413.1111111111111,30.4464719519518,367.0,461.0,16341.333333333334,385.79125040478675,15749.0,17025.0,9157.667985185186,220.18990510780762,8810.3228,9534.046133333331
monetarisierung nachhaltigkeit lokalität,Kombination,401.5,31.583788789277868,360.0,468.0,16277.07142857143,531.3832978027004,15175.0,17101.0,9113.704047619045,298.72232030681846,8499.553333333333,9557.956666666663
sichtbarkeit nutzergewinnung community nutzerbindung nachhaltigkeit lokalität,Kombination,400.3333333333333,44.59197735517505,326.0,456.0,16266.444444444445,504.20963698117805,15371.0,16981.0,9112.275392592592,287.24441329610204,8600.7028,9526.976133333334
